Date,Location,New_Cases,New_Deaths,Total_Cases,Total_Deaths
08-03-2020,Armenia,0,,1,
09-03-2020,Armenia,0,,1,
10-03-2020,Armenia,0,,1,
11-03-2020,Armenia,0,,1,
25-01-2020,Australia,,,3,
26-01-2020,Australia,1,,4,
27-01-2020,Australia,0,,4,
28-01-2020,Australia,1,,5,
29-01-2020,Australia,2,,7,
30-01-2020,Australia,0,,7,
31-01-2020,Australia,2,,9,
01-02-2020,Australia,3,,12,
02-02-2020,Australia,0,,12,
03-02-2020,Australia,0,,12,
04-02-2020,Australia,0,,12,
05-02-2020,Australia,1,,13,
06-02-2020,Australia,1,,14,
07-02-2020,Australia,1,,15,
08-02-2020,Australia,0,,15,
09-02-2020,Australia,0,,15,
10-02-2020,Australia,0,,15,
11-02-2020,Australia,0,,15,
12-02-2020,Australia,0,,15,
13-02-2020,Australia,0,,15,
14-02-2020,Australia,0,,15,
15-02-2020,Australia,0,,15,
16-02-2020,Australia,0,,15,
17-02-2020,Australia,0,,15,
18-02-2020,Australia,0,,15,
19-02-2020,Australia,0,,15,
20-02-2020,Australia,0,,15,
21-02-2020,Australia,2,,17,
22-02-2020,Australia,4,,21,
23-02-2020,Australia,1,,22,
24-02-2020,Australia,0,,22,
25-02-2020,Australia,0,,22,
26-02-2020,Australia,1,,23,
27-02-2020,Australia,0,,23,
28-02-2020,Australia,0,,23,
29-02-2020,Australia,1,,24,
01-03-2020,Australia,1,,25,
02-03-2020,Australia,2,,27,1
03-03-2020,Australia,6,0,33,1
04-03-2020,Australia,10,0,43,1
05-03-2020,Australia,14,0,57,1
06-03-2020,Australia,0,1,57,2
07-03-2020,Australia,5,0,62,2
08-03-2020,Australia,12,1,74,3
09-03-2020,Australia,3,0,77,3
10-03-2020,Australia,15,0,92,3
11-03-2020,Australia,20,0,112,3
26-02-2020,Austria,,,2,
27-02-2020,Austria,0,,2,
28-02-2020,Austria,2,,4,
29-02-2020,Austria,1,,5,
01-03-2020,Austria,5,,10,
02-03-2020,Austria,0,,10,
03-03-2020,Austria,8,,18,
04-03-2020,Austria,6,,24,
05-03-2020,Austria,13,,37,
06-03-2020,Austria,10,,47,
